City,Date,Year,Month,Junction_ID,Traffic_volume,Zone,Road_Capacity2,Congestion_%,PM2.5,NO2,CO,AQI,Sensor_ID,Sensor_Status,Uptime_Percentage,Is_Weekend,Is_Festival,Weather_Condition,Severity_Score,Zone_Rank,Avg_Speed,Hour,Day_of_Week,Is_Peak_Hour,Congestion_Level,Pollution_Level,Prev_Traffic,Prev_AQI,AQI_Change,Traffic_MA_3,Traffic_Anomaly_Flag,DaY_Type,Smart_City_Index
Chennai,12-05-2023,2023,May,J5,102,East,390,26.15,105.63,59.98,3,130.81,S5,Active,96.08885743,0,0,Rain,0.3,HIGH,77,9,5,0,Medium,Severe,102,130.81,57.46,15837.22,1,WeekDay,32.55
Bangalore,10-12-2026,2026,Dec,J6,109,East,240,45.42,95.05,53.63,2.69,117.39,S6,Active,97.44677927,0,0,Rain,0.27,HIGH,67,12,5,0,High,Severe,109,117.39,-13.42,15954.56,0,WeekDay,54.9
Bangalore,20-05-2026,2026,May,J7,71,West,318,22.33,21.81,14.18,0.56,26.33,S7,Unstable,88.83061125,0,0,Rain,0.07,LOW,79,6,5,0,High,Severe,71,26.33,-91.06,15993.67,0,WeekDay,89.86
Pune,04-01-2023,2023,Jan,J8,82,North,483,16.98,99.4,62.5,2.73,123.08,S8,Active,90.58079087,0,0,Clear,0.3,HIGH,82,2,5,0,Medium,Severe,82,123.08,96.75,15977.22,1,WeekDay,30.22
Warangal,02-01-2025,2025,Jan,J9,115,Central,362,31.77,107.71,61.81,2.54,123.14,S9,Active,96.99527953,0,1,Clear,0.31,HIGH,48,2,5,1,Medium,Severe,115,123.14,0.06,15899.22,1,WeekDay,43.51
Bangalore,01-09-2024,2024,Sep,J10,94,North,377,24.93,106.06,59.21,3.43,139.41,S10,Active,96.53475828,0,0,Clear,0.3,HIGH,53,1,5,1,Medium,Moderate,94,139.41,16.27,15832,1,WeekDay,40.43
Bangalore,06-11-2023,2023,Nov,J11,113,North,72,156.94,77.91,48.43,2.26,98.74,S11,Active,92.83922985,0,0,Fog,0.23,HIGH,10,4,5,1,Low,Moderate,113,98.74,-40.68,15869.44,0,WeekDay,56.15
Hyderabad,11-08-2023,2023,Aug,J12,65,South,355,18.31,51.45,27.91,1.18,57.74,S12,Active,90.94308017,0,0,Clear,0.14,MEDIUM,57,8,5,1,Medium,Severe,65,57.74,-41,15807,0,WeekDay,66.57
Warangal,28-11-2022,2022,Nov,J1,117,South,274,42.7,55.21,28.75,1.23,60.83,S1,Active,99.52663856,0,0,Fog,0.15,MEDIUM,40,3,5,1,Medium,Severe,117,60.83,3.09,15737.89,0,WeekDay,69.99
Warangal,30-05-2025,2025,May,J2,119,East,162,73.46,25.81,18.08,0.68,31.89,S2,Active,91.22532086,0,0,Clear,0.08,LOW,19,4,5,1,Medium,Severe,119,31.89,-28.95,15802.22,0,WeekDay,89.99
Hyderabad,18-10-2023,2023,Oct,J3,72,East,231,31.17,33.63,16.74,1.02,42.25,S3,Active,96.45978579,0,0,Clear,0.09,LOW,48,5,5,1,Medium,Severe,72,42.25,10.36,15810.56,0,WeekDay,84.36
Chennai,29-11-2022,2022,Nov,J4,87,East,89,97.75,49.08,30.58,1.2,57.64,S4,Active,91.18963547,0,0,Fog,0.15,MEDIUM,10,3,5,1,Low,Moderate,87,57.64,15.4,15807.33,0,WeekDay,76.36
Bangalore,24-09-2023,2023,Sep,J5,67,North,123,54.47,90.33,50.77,2.14,103.29,S5,Unstable,89.64754246,0,0,Clear,0.25,HIGH,32,4,5,1,Medium,Severe,67,103.29,45.65,15733.11,1,WeekDay,51.31
Bangalore,21-03-2025,2025,Mar,J6,111,North,469,23.67,73.76,42.56,2.02,90,S6,Active,94.6149513,0,0,Clear,0.21,MEDIUM,53,1,5,1,Medium,Severe,111,90,-13.29,15795.44,0,WeekDay,70.82
Warangal,19-12-2025,2025,Dec,J7,110,Central,225,48.89,75.01,53.36,2.23,98.06,S7,Active,97.11423813,0,0,Heavy Traffic Event,0.24,HIGH,36,8,5,1,Medium,Severe,110,98.06,8.06,15922.33,1,WeekDay,47.98
Chennai,11-07-2024,2024,Jul,J8,95,North,98,96.94,89.01,56.99,2.38,109.1,S8,Active,99.72066262,0,0,Rain,0.27,HIGH,10,2,5,1,Medium,Severe,95,109.1,11.04,15957.89,1,WeekDay,51.5
Hyderabad,03-08-2023,2023,Aug,J9,80,South,385,20.78,10,6.41,0.53,17.5,S9,Unstable,87.23356138,0,0,Clear,0.03,LOW,80,7,5,0,High,Severe,80,17.5,-91.6,15888,0,WeekDay,93.25
Warangal,15-02-2025,2025,Feb,J10,75,East,183,40.98,36.6,23.63,0.97,44.81,S10,Active,98.14171706,0,0,Clear,0.11,LOW,70,11,5,0,Low,Moderate,75,44.81,27.31,15850,0,WeekDay,85.94
Warangal,24-07-2022,2022,Jul,J11,71,South,337,21.07,68.03,46.94,2.24,92.84,S11,Active,92.862129,0,0,Fog,0.22,MEDIUM,79,2,5,0,Medium,Severe,71,92.84,48.03,15767.33,1,WeekDay,49.95
Hyderabad,01-10-2023,2023,Oct,J12,85,East,278,30.58,35.99,16.31,0.5,32.88,S12,Unstable,86.61613717,0,0,Rain,0.09,LOW,75,2,5,0,High,Severe,85,32.88,-59.96,15774.44,0,WeekDay,84.69
Pune,17-08-2024,2024,Aug,J1,62,East,330,18.79,94.81,62.83,2.78,121.91,S1,Active,96.91567929,0,0,Clear,0.29,HIGH,81,1,5,0,Medium,Severe,62,121.91,89.03,15752.67,1,WeekDay,43.31
Warangal,30-04-2025,2025,Apr,J2,100,West,249,40.16,38.61,9.49,1.25,47.11,S2,Unstable,89.97316635,0,0,Fog,0.07,LOW,70,7,5,0,Medium,Severe,100,47.11,-74.8,15868.56,0,WeekDay,87.69
Bangalore,26-04-2023,2023,Apr,J3,62,South,354,17.51,89.69,53.11,2.35,107.87,S3,Active,98.02374711,0,0,Clear,0.26,HIGH,81,5,5,0,Medium,Moderate,62,107.87,60.76,15848.44,1,WeekDay,42.77
Pune,02-06-2024,2024,Jun,J4,110,North,181,60.77,67.33,42.17,1.72,80.68,S4,Unstable,87.36702809,0,0,Heavy Traffic Event,0.2,MEDIUM,60,7,5,0,High,Severe,110,80.68,-27.19,15845.33,0,WeekDay,71.05
Bangalore,22-01-2025,2025,Jan,J5,61,Central,247,24.7,24.51,17.72,0.74,32.35,S5,Active,95.66637526,0,0,Clear,0.08,LOW,78,7,5,0,High,Severe,61,32.35,-48.33,15830.11,0,WeekDay,90
Pune,03-03-2023,2023,Mar,J6,62,North,201,30.85,51.82,41.23,1.56,69.56,S6,Unstable,89.5119439,0,0,Rain,0.18,MEDIUM,75,12,5,0,High,Severe,62,69.56,37.22,15824.11,0,WeekDay,64.19
Pune,14-03-2024,2024,Mar,J7,83,South,407,20.39,72.07,50.13,2.26,96.37,S7,Unstable,88.86023103,0,0,Clear,0.23,HIGH,80,8,5,0,Medium,Moderate,83,96.37,26.81,15812.22,0,WeekDay,61.26
Bangalore,21-11-2025,2025,Nov,J8,110,West,395,27.85,71.04,40.87,2.05,88.77,S8,Unstable,85.75390245,0,0,Clear,0.2,MEDIUM,76,5,5,0,Low,Moderate,110,88.77,-7.6,15851.33,0,WeekDay,59.73
Hyderabad,19-04-2026,2026,Apr,J9,87,East,323,26.93,77.1,46.79,2.28,98.24,S9,Active,92.22863016,0,0,Clear,0.23,MEDIUM,77,6,5,0,Medium,Severe,87,98.24,9.46,15981.44,0,WeekDay,69.39
Chennai,01-11-2026,2026,Nov,J10,112,South,168,66.67,102.15,53.5,2.54,118,S10,Active,90.8725363,0,0,Clear,0.27,HIGH,57,3,5,0,High,Severe,112,118,19.76,16091.78,1,WeekDay,45.85
Pune,05-05-2024,2024,May,J11,96,North,147,65.31,72.97,41.2,1.84,85.74,S11,Unstable,85.92535536,0,0,Clear,0.2,MEDIUM,57,12,5,0,Medium,Moderate,96,85.74,-32.26,16027.33,0,WeekDay,60.09
Bangalore,30-03-2025,2025,Mar,J12,117,South,341,34.31,48.95,26.12,1.38,59.87,S12,Unstable,88.39963376,0,0,Clear,0.13,MEDIUM,73,5,5,0,High,Severe,117,59.87,-25.87,15987.78,0,WeekDay,72.09
Hyderabad,20-10-2025,2025,Oct,J1,64,East,244,26.23,112.29,66.25,2.75,131.07,S1,Active,92.30907771,0,0,Heavy Traffic Event,0.32,HIGH,77,11,5,0,Medium,Severe,64,131.07,71.2,15940.44,1,WeekDay,28.38
Bangalore,15-04-2023,2023,Apr,J2,68,East,278,24.46,51.41,23.62,1.45,61.74,S2,Active,97.12407106,0,0,Clear,0.13,LOW,78,3,5,0,Medium,Severe,68,61.74,-69.34,15894.33,0,WeekDay,79.65
Hyderabad,30-08-2026,2026,Aug,J3,88,South,458,19.21,36.15,19.64,0.84,40.83,S3,Active,98.94171825,0,0,Clear,0.1,LOW,80,3,5,0,Low,Moderate,88,40.83,-20.91,15948.78,0,WeekDay,81.02
Warangal,27-11-2025,2025,Nov,J4,111,South,436,25.46,84.37,47.57,2.02,96.84,S4,Active,92.72998259,0,0,Rain,0.24,HIGH,77,12,5,0,Medium,Moderate,111,96.84,56.01,15958.22,0,WeekDay,68.03
Pune,01-07-2023,2023,Jul,J5,95,East,333,28.53,99.56,54.06,2.48,115.52,S5,Active,91.04960107,0,0,Rain,0.27,HIGH,76,12,5,0,Low,Severe,95,115.52,18.69,15969.78,0,WeekDay,56.2
Chennai,12-08-2026,2026,Aug,J6,113,West,430,26.28,83.6,51.28,2.65,110.16,S6,Active,99.32131639,0,0,Fog,0.25,HIGH,77,4,5,0,Medium,Severe,113,110.16,-5.36,15970.56,1,WeekDay,52.89
Bangalore,08-12-2026,2026,Dec,J7,116,South,256,45.31,95.58,62.31,2.58,117.99,S7,Active,99.44293592,0,0,Fog,0.29,HIGH,67,10,5,0,High,Severe,116,117.99,7.82,16013,0,WeekDay,52.92
Warangal,14-11-2024,2024,Nov,J8,82,North,489,16.77,86.26,50.69,2.55,109.29,S8,Unstable,87.85618509,0,0,Heavy Traffic Event,0.25,HIGH,82,6,5,0,Medium,Moderate,82,109.29,-8.69,16067.44,0,WeekDay,62.45
Chennai,09-06-2023,2023,Jun,J9,72,North,122,59.02,75.49,55.37,2.26,99.64,S9,Active,92.97182957,0,0,Fog,0.25,HIGH,29,11,5,1,Medium,Severe,72,99.64,-9.65,15933.67,1,WeekDay,45.47
Pune,17-01-2022,2022,Jan,J10,104,East,74,140.54,64.32,34,1.88,80.05,S10,Active,97.31365121,0,0,Fog,0.17,MEDIUM,10,1,5,1,Medium,Severe,104,80.05,-19.59,15733.44,0,WeekDay,60.96
Warangal,27-11-2024,2024,Nov,J11,119,East,278,42.81,62.99,43.27,2.04,85.23,S11,Active,97.33388495,0,1,Rain,0.2,MEDIUM,40,4,5,1,High,Severe,119,85.23,5.18,15739,0,WeekDay,62.13
Bangalore,04-10-2024,2024,Oct,J12,113,Central,434,26.04,70.81,40.92,1.87,85.03,S12,Active,95.27467925,0,0,Rain,0.2,MEDIUM,52,11,5,1,Medium,Severe,113,85.03,-0.21,15797.33,0,WeekDay,58.2
Pune,20-01-2024,2024,Jan,J1,90,Central,222,40.54,15.28,12.45,1.23,35.9,S1,Active,92.07203375,0,0,Clear,0.06,LOW,42,9,5,1,Low,Moderate,90,35.9,-49.12,15877.44,0,WeekDay,90.14
Bangalore,08-08-2024,2024,Aug,J2,89,Central,99,89.9,30.95,16.18,1.44,49.13,S2,Active,91.05484741,0,0,Clear,0.08,LOW,10,1,5,1,Medium,Severe,89,49.13,13.22,15861.78,0,WeekDay,89.56
Hyderabad,12-03-2024,2024,Mar,J3,76,Central,329,23.1,60.01,39.47,2.02,82.2,S3,Active,97.09618254,0,0,Clear,0.19,MEDIUM,54,1,5,1,High,Severe,76,82.2,33.07,15834.78,0,WeekDay,66.68
Chennai,04-08-2025,2025,Aug,J4,90,West,315,28.57,69.67,40.75,1.86,84.19,S4,Unstable,88.38584764,0,0,Clear,0.2,MEDIUM,50,6,5,1,High,Severe,90,84.19,1.99,15897.33,1,WeekDay,52.44
Warangal,05-03-2023,2023,Mar,J5,114,South,222,51.35,98.57,64.81,2.92,127.22,S5,Active,91.42644833,0,0,Clear,0.31,HIGH,34,7,5,1,Medium,Moderate,114,127.22,43.03,15842,0,WeekDay,56.43
Warangal,28-07-2024,2024,Jul,J6,92,South,224,41.07,62.77,35.19,1.77,77.36,S6,Active,93.50297047,0,0,Rain,0.18,MEDIUM,41,1,5,1,Medium,Moderate,92,77.36,-49.86,15859.11,0,WeekDay,77.18
Chennai,14-04-2022,2022,Apr,J7,67,East,305,21.97,64,37.27,1.9,81.26,S7,Active,97.4767588,0,0,Clear,0.18,MEDIUM,55,12,5,1,Low,Severe,67,81.26,3.9,15722,0,WeekDay,70.19
Hyderabad,30-04-2025,2025,Apr,J8,109,East,140,77.86,46.36,33.51,1.25,58.29,S8,Active,90.60775189,0,0,Rain,0.15,MEDIUM,16,1,5,1,Medium,Moderate,109,58.29,-22.97,15809.11,0,WeekDay,77.43
Chennai,15-09-2025,2025,Sep,J9,118,West,469,25.16,37.21,16.59,0.99,43.38,S9,Active,93.22983645,0,0,Heavy Traffic Event,0.09,LOW,77,3,5,0,High,Severe,118,43.38,-14.91,15858.11,0,WeekDay,83.74
Bangalore,24-01-2022,2022,Jan,J10,118,South,319,36.99,58.78,30.51,1.48,68.23,S10,Unstable,89.18745756,0,0,Clear,0.16,MEDIUM,72,2,5,0,High,Severe,118,68.23,24.85,15854.89,0,WeekDay,65.23
Bangalore,22-08-2024,2024,Aug,J11,80,East,211,37.91,15.87,14.43,0.44,21.15,S11,Active,97.55369013,0,0,Clear,0.06,LOW,71,10,5,0,High,Severe,80,21.15,-47.08,15823.67,0,WeekDay,95.7
Pune,10-10-2025,2025,Oct,J12,70,East,186,37.63,70.14,45.25,1.63,81.26,S12,Active,96.78311856,0,0,Clear,0.21,MEDIUM,71,9,5,0,Medium,Moderate,70,81.26,60.1,15821.11,0,WeekDay,73.79
Chennai,07-04-2024,2024,Apr,J1,81,South,221,36.65,51.86,29.04,1.44,63.38,S1,Active,97.30147384,0,0,Fog,0.15,MEDIUM,72,3,5,0,Medium,Moderate,81,63.38,-17.87,15906.56,0,WeekDay,78.02
Pune,18-07-2022,2022,Jul,J2,106,Central,227,46.7,20.59,12.75,0.8,30.06,S2,Unstable,85.86214427,0,0,Heavy Traffic Event,0.06,LOW,67,4,5,0,Medium,Moderate,106,30.06,-33.33,15824.11,0,WeekDay,92.17
Chennai,20-11-2026,2026,Nov,J3,63,Central,292,21.58,99.1,62.38,2.62,120.57,S3,Active,92.30347201,0,0,Fog,0.3,HIGH,79,12,5,0,Low,Moderate,63,120.57,90.51,15868.56,1,WeekDay,29.72
Chennai,14-04-2024,2024,Apr,J4,73,Central,294,24.83,68.72,40.81,1.84,83.32,S4,Unstable,87.03764229,0,0,Clear,0.2,MEDIUM,78,3,5,0,Low,Severe,73,83.32,-37.25,15868.44,0,WeekDay,57.79
Bangalore,04-07-2026,2026,Jul,J5,103,West,139,74.1,79.37,43.56,2.29,98.59,S5,Active,95.10640663,0,0,Clear,0.22,MEDIUM,53,2,5,0,Medium,Severe,103,98.59,15.28,16029.33,0,WeekDay,62.67
Pune,18-04-2024,2024,Apr,J6,100,West,417,23.98,20.67,12.27,1.08,35.55,S6,Unstable,89.67086394,0,0,Heavy Traffic Event,0.06,LOW,78,1,5,0,High,Severe,100,35.55,-63.04,15928.11,0,WeekDay,90.13
Warangal,11-01-2022,2022,Jan,J7,76,West,444,17.12,83.79,52.41,2.4,105.64,S7,Active,96.61864349,0,0,Clear,0.25,HIGH,81,4,5,0,Medium,Severe,76,105.64,70.09,15836.67,1,WeekDay,46.52
Hyderabad,12-05-2024,2024,May,J8,109,South,215,50.7,17.81,12.87,0.84,29.5,S8,Unstable,85.97750357,0,0,Clear,0.06,LOW,65,7,5,0,Medium,Moderate,109,29.5,-76.14,15750.11,0,WeekDay,90.12
Pune,21-03-2025,2025,Mar,J9,86,South,85,101.18,10,11.39,0.74,23.3,S9,Active,92.69890832,0,0,Clear,0.05,LOW,39,12,5,0,Medium,Severe,86,23.3,-6.2,15786.11,0,WeekDay,92.13
Warangal,12-10-2024,2024,Oct,J10,73,Central,382,19.11,16.59,7.82,0.83,27.29,S10,Unstable,86.85497736,0,0,Heavy Traffic Event,0.04,LOW,80,10,5,0,Medium,Moderate,73,27.29,3.99,15897.67,0,WeekDay,91.59
Chennai,08-07-2024,2024,Jul,J11,98,East,84,116.67,96.36,55.06,2.49,114.5,S11,Active,93.36848652,0,0,Clear,0.27,HIGH,32,1,5,0,High,Severe,98,114.5,87.21,15902.78,1,WeekDay,40.36
Warangal,25-03-2026,2026,Mar,J12,116,East,423,27.42,10.71,7.71,0.82,24.14,S12,Active,94.11027213,0,0,Heavy Traffic Event,0.04,LOW,76,4,5,0,High,Severe,116,24.14,-90.37,15947.22,0,WeekDay,94.68
Hyderabad,02-04-2022,2022,Apr,J1,105,East,76,138.16,98.08,61.96,2.61,119.9,S1,Active,91.93215285,1,0,Clear,0.3,HIGH,21,3,6,0,Low,Moderate,105,119.9,95.76,15847.89,0,WeekEnd,59.73
Bangalore,18-08-2022,2022,Aug,J2,62,South,255,24.31,90.18,53.56,2.83,117.84,S2,Unstable,89.19469925,1,0,Fog,0.26,HIGH,78,6,6,0,Medium,Severe,62,117.84,-2.06,15767,0,WeekEnd,60.49
Pune,15-10-2022,2022,Oct,J3,96,North,385,24.94,56.71,33.8,1.67,71.94,S3,Unstable,85.48491788,1,0,Clear,0.17,MEDIUM,78,11,6,0,High,Severe,96,71.94,-45.9,15624.67,0,WeekEnd,65.86
Bangalore,31-12-2025,2025,Dec,J4,117,Central,493,23.73,43.78,28.47,1.14,53.33,S4,Active,94.93171189,1,0,Clear,0.13,MEDIUM,78,1,6,0,Medium,Severe,117,53.33,-18.61,15778.44,0,WeekEnd,79.08
Warangal,09-02-2023,2023,Feb,J5,78,North,415,18.8,19.88,5,0.56,22.61,S5,Active,98.05662844,1,0,Rain,0.04,LOW,81,6,6,0,Low,Moderate,78,22.61,-30.72,15799.78,0,WeekEnd,95.78
Bangalore,24-10-2022,2022,Oct,J6,75,South,359,20.89,61.66,37.83,1.7,76.1,S6,Active,96.00471655,1,0,Clear,0.18,MEDIUM,80,12,6,0,Medium,Severe,75,76.1,53.49,15798.44,0,WeekEnd,74.58
Bangalore,31-01-2022,2022,Jan,J7,90,North,449,20.04,79.34,43.57,2.21,96.96,S7,Active,98.39527017,1,0,Rain,0.22,MEDIUM,80,3,6,0,High,Severe,90,96.96,20.86,15636.22,0,WeekEnd,60.72
Bangalore,04-05-2026,2026,May,J8,89,West,342,26.02,29.47,16.91,0.62,32.2,S8,Active,98.94251355,1,0,Heavy Traffic Event,0.08,LOW,77,6,6,0,Medium,Severe,89,32.2,-64.76,15768.89,0,WeekEnd,88.53
Chennai,23-05-2023,2023,May,J9,83,North,225,36.89,61.51,36.52,1.73,76.34,S9,Active,91.74319698,1,0,Clear,0.18,MEDIUM,72,10,6,0,High,Severe,83,76.34,44.14,15793.33,0,WeekEnd,65.88
Hyderabad,11-10-2023,2023,Oct,J10,73,West,417,17.51,37.1,17.47,1.2,47.77,S10,Active,95.46987049,1,0,Clear,0.09,LOW,81,11,6,0,High,Severe,73,47.77,-28.57,15860.22,0,WeekEnd,84.71
Hyderabad,27-12-2024,2024,Dec,J11,116,Central,270,42.96,89.78,52.18,2.24,105.39,S11,Active,90.96068124,1,0,Rain,0.26,HIGH,69,10,6,0,High,Severe,116,105.39,57.62,15808.22,0,WeekEnd,54.96
Bangalore,05-12-2022,2022,Dec,J12,86,East,108,79.63,54.09,33.36,1.5,67.04,S12,Active,98.79314065,1,0,Fog,0.16,MEDIUM,50,5,6,0,Medium,Moderate,86,67.04,-38.35,15789.67,0,WeekEnd,80.96
Bangalore,27-08-2025,2025,Aug,J1,117,North,243,48.15,82.91,51.61,2.38,104.57,S1,Active,93.44459288,1,0,Fog,0.25,HIGH,66,7,6,0,Low,Moderate,117,104.57,37.52,15871,0,WeekEnd,58.49
Hyderabad,01-08-2022,2022,Aug,J2,89,East,230,38.7,87.59,48.18,2.47,107.74,S2,Active,96.28675013,1,0,Clear,0.24,HIGH,71,9,6,0,High,Severe,89,107.74,3.18,15770.11,1,WeekEnd,51.8
Warangal,02-10-2024,2024,Oct,J3,108,Central,90,120,93.06,57.42,2.36,110.94,S3,Unstable,85.21777345,1,0,Fog,0.28,HIGH,30,6,6,0,Medium,Severe,108,110.94,3.2,15846.89,0,WeekEnd,60.7
Bangalore,13-07-2022,2022,Jul,J4,68,Central,180,37.78,73.41,43.1,1.91,87.75,S4,Active,93.63323839,1,0,Clear,0.21,MEDIUM,71,5,6,0,Medium,Severe,68,87.75,-23.19,15714.33,0,WeekEnd,54.16
Warangal,16-08-2023,2023,Aug,J5,70,East,443,15.8,65.84,37.15,1.81,80.35,S5,Active,96.1298665,1,0,Clear,0.19,MEDIUM,82,3,6,0,High,Severe,70,80.35,-7.4,15754.56,0,WeekEnd,70.03
Pune,05-04-2025,2025,Apr,J6,93,Central,324,28.7,33.8,8.08,0.95,38.31,S6,Unstable,88.85509264,1,0,Rain,0.06,LOW,76,10,6,0,Medium,Moderate,93,38.31,-42.05,15773.56,0,WeekEnd,89.93
Hyderabad,20-01-2025,2025,Jan,J7,78,East,106,73.58,94.39,57.64,2.83,121.02,S7,Unstable,85.21560954,1,0,Fog,0.28,HIGH,53,12,6,0,Medium,Severe,78,121.02,82.71,15877.44,1,WeekEnd,33.91
Hyderabad,02-02-2026,2026,Feb,J8,104,North,257,40.47,70.79,50.7,2.21,94.8,S8,Active,96.15449148,1,0,Clear,0.23,HIGH,70,6,6,0,Medium,Severe,104,94.8,-26.22,15981.67,0,WeekEnd,68.5
Pune,07-09-2022,2022,Sep,J9,107,West,261,41,70.43,44.85,2.13,91.29,S9,Active,90.0712873,1,0,Rain,0.21,MEDIUM,70,12,6,0,High,Severe,107,91.29,-3.51,15878.33,0,WeekEnd,61.03
Chennai,19-12-2023,2023,Dec,J10,117,Central,180,65,75.23,47.02,2.2,95.8,S10,Active,91.43184411,1,0,Clear,0.23,MEDIUM,58,4,6,0,High,Severe,117,95.8,4.51,15838.22,0,WeekEnd,56.9
Pune,26-12-2025,2025,Dec,J11,92,Central,195,47.18,10,7.03,0.64,19.95,S11,Active,93.43078621,1,0,Rain,0.03,LOW,66,11,6,0,Medium,Severe,92,19.95,-75.85,15832.56,0,WeekEnd,93.19
Warangal,13-10-2025,2025,Oct,J12,83,South,418,19.86,22.32,17.1,1.05,37.35,S12,Unstable,86.65376749,1,0,Fog,0.08,LOW,80,7,6,0,Medium,Moderate,83,37.35,17.4,15956,0,WeekEnd,86.42
Pune,08-08-2025,2025,Aug,J1,118,West,150,78.67,13.01,5,0.33,14.61,S1,Unstable,86.55328999,1,0,Clear,0.03,LOW,51,2,6,0,Medium,Severe,118,14.61,-22.74,16022.78,0,WeekEnd,94.54
Bangalore,01-05-2024,2024,May,J2,118,North,154,76.62,73.7,37.19,2.04,88.77,S2,Active,99.41320674,1,0,Clear,0.19,MEDIUM,52,4,6,0,Medium,Severe,118,88.77,74.16,15958.44,0,WeekEnd,56.53
Bangalore,27-05-2026,2026,May,J3,72,West,196,36.73,97.46,64.03,2.73,122.64,S3,Active,90.0834476,1,0,Fog,0.3,HIGH,72,3,6,0,High,Severe,72,122.64,33.87,15982.44,0,WeekEnd,56.58
Warangal,03-06-2026,2026,Jun,J4,73,North,417,17.51,30.63,21.44,1.18,45.34,S4,Unstable,88.83287269,1,0,Rain,0.1,LOW,81,9,6,0,Low,Moderate,73,45.34,-77.3,16010.78,0,WeekEnd,87.85
Pune,03-02-2025,2025,Feb,J5,79,East,387,20.41,89.58,52.55,2.08,102.17,S5,Unstable,85.7160718,1,0,Fog,0.26,HIGH,80,8,6,0,High,Severe,79,102.17,56.82,16037.44,0,WeekEnd,66.14
Warangal,03-08-2023,2023,Aug,J6,68,Central,80,85,72.57,40.7,2.02,88.97,S6,Unstable,87.60893076,1,0,Heavy Traffic Event,0.2,MEDIUM,48,9,6,0,Medium,Moderate,68,88.97,-13.2,15922.44,0,WeekEnd,58.68
Warangal,05-09-2026,2026,Sep,J7,74,Central,290,25.52,20.74,11.04,0.48,23.3,S7,Active,91.46342629,1,0,Clear,0.06,LOW,77,11,6,0,Low,Moderate,74,23.3,-65.67,15933,0,WeekEnd,90.55
Hyderabad,04-07-2022,2022,Jul,J8,66,West,238,27.73,21.92,17.5,0.78,31.84,S8,Active,90.13109985,1,0,Rain,0.08,LOW,76,10,6,0,Medium,Severe,66,31.84,8.54,15826.22,0,WeekEnd,92.71
Pune,09-07-2024,2024,Jul,J9,98,South,243,40.33,66.37,36.53,1.76,79.36,S9,Active,91.36872621,1,0,Rain,0.18,MEDIUM,42,7,6,1,High,Severe,98,79.36,47.52,15867.56,0,WeekEnd,69.53
Chennai,11-08-2022,2022,Aug,J10,115,North,231,49.78,74.13,45.51,1.82,87.09,S10,Active,95.55864567,1,0,Clear,0.22,MEDIUM,35,5,6,1,Medium,Severe,115,87.09,7.73,15706.56,0,WeekEnd,73.13
Chennai,08-10-2023,2023,Oct,J11,104,North,468,22.22,73.72,48.28,2.12,93.74,S11,Active,94.62684238,1,0,Fog,0.23,MEDIUM,54,9,6,1,Medium,Severe,104,93.74,6.65,15762.11,0,WeekEnd,69.91
Chennai,24-07-2025,2025,Jul,J12,117,East,238,49.16,49.91,31.32,1.08,55.87,S12,Active,92.39729601,1,0,Rain,0.15,MEDIUM,36,11,6,1,Low,Moderate,117,55.87,-37.86,15806.56,0,WeekEnd,71.26
Pune,23-06-2024,2024,Jun,J1,113,North,65,173.85,23.03,9.56,0.6,26.33,S1,Active,97.22232243,1,0,Fog,0.05,LOW,10,6,6,1,High,Severe,113,26.33,-29.54,15882.33,0,WeekEnd,94.19
Chennai,02-10-2026,2026,Oct,J2,89,South,146,60.96,72.32,43.75,2.06,90.54,S2,Active,97.85986826,1,0,Fog,0.21,MEDIUM,27,7,6,1,Medium,Severe,89,90.54,64.21,16002.11,0,WeekEnd,60.33
Chennai,18-02-2025,2025,Feb,J3,110,East,118,93.22,89.99,52.62,2.81,116.92,S3,Active,93.86219011,1,0,Clear,0.26,HIGH,10,3,6,1,Medium,Moderate,110,116.92,26.38,15984,1,WeekEnd,39.07
Bangalore,09-09-2025,2025,Sep,J4,113,North,299,37.79,43.06,28.1,1.36,57.25,S4,Unstable,86.76356535,1,0,Fog,0.13,MEDIUM,44,1,6,1,High,Severe,113,57.25,-59.66,16033.33,0,WeekEnd,78.97
Bangalore,23-04-2026,2026,Apr,J5,119,South,248,47.98,46.29,26.64,1.64,63.96,S5,Active,91.09268817,1,0,Fog,0.13,MEDIUM,36,8,6,1,Low,Moderate,119,63.96,6.71,16018.67,0,WeekEnd,66.55
Bangalore,11-12-2026,2026,Dec,J6,95,South,443,21.44,28.06,17.01,1.01,39.38,S6,Active,94.5169522,1,0,Fog,0.08,LOW,55,12,6,1,Low,Moderate,95,39.38,-24.58,16090.56,0,WeekEnd,87.42
Hyderabad,25-01-2024,2024,Jan,J7,93,South,444,20.95,33.72,20.05,1.59,54.64,S7,Unstable,85.94276517,1,0,Clear,0.1,LOW,55,1,6,1,Medium,Severe,93,54.64,15.26,16022.33,0,WeekEnd,82.67
Pune,11-10-2024,2024,Oct,J8,97,South,309,31.39,24.95,12.88,0.92,34.81,S8,Unstable,85.29859798,1,0,Rain,0.07,LOW,48,4,6,1,Medium,Severe,97,34.81,-19.82,15957.56,0,WeekEnd,88.17
